time;X;Y;Z;Total
0,728657;-0,0666;0,1410;0,9829;0,995
0,732951;-0,0688;0,1415;0,9736;0,986
0,733822;-0,0703;0,1457;0,9659;0,979
0,736230;-0,0707;0,1479;0,9623;0,976
0,738315;-0,0663;0,1484;0,9543;0,968
0,741589;-0,0703;0,1494;0,9486;0,963
0,744399;-0,0695;0,1528;0,9426;0,957
0,746002;-0,0705;0,1515;0,9381;0,953
0,748754;-0,0673;0,1571;0,9328;0,948
0,751578;-0,0649;0,1587;0,9315;0,947
0,753535;-0,0649;0,1591;0,9228;0,939
0,755926;-0,0619;0,1618;0,9225;0,939
0,759829;-0,0630;0,1652;0,9183;0,935
0,761136;-0,0600;0,1652;0,9151;0,932
0,764149;-0,0574;0,1669;0,9181;0,935
0,766003;-0,0586;0,1687;0,9156;0,933
0,768640;-0,0553;0,1684;0,9130;0,930
0,771970;-0,0505;0,1655;0,9170;0,933
0,773732;-0,0473;0,1669;0,9151;0,931
0,776762;-0,0514;0,1689;0,9154;0,932
0,779170;-0,0517;0,1706;0,9176;0,935
0,781545;-0,0493;0,1701;0,9191;0,936
0,784315;-0,0534;0,1711;0,9186;0,936
0,794005;-0,0539;0,1706;0,9181;0,935
0,794631;-0,0593;0,1731;0,9200;0,938
0,794936;-0,0570;0,1745;0,9191;0,937
0,795072;-0,0595;0,1696;0,9151;0,933
0,797164;-0,0558;0,1713;0,9122;0,930
0,799375;-0,0588;0,1689;0,9112;0,929
0,801923;-0,0607;0,1650;0,9026;0,920
0,804678;-0,0642;0,1674;0,8972;0,915
0,806551;-0,0666;0,1652;0,8961;0,914
0,815719;-0,0688;0,1664;0,8900;0,908
0,816557;-0,0717;0,1643;0,8858;0,904
0,816866;-0,0730;0,1652;0,8876;0,906
0,817099;-0,0730;0,1682;0,8867;0,905
0,822061;-0,0730;0,1633;0,8876;0,905
0,822575;-0,0761;0,1640;0,8851;0,903
0,824437;-0,0727;0,1650;0,8873;0,905
0,827406;-0,0732;0,1603;0,8909;0,908
0,829050;-0,0681;0,1596;0,8953;0,912
0,832062;-0,0642;0,1564;0,8921;0,908
0,834906;-0,0612;0,1582;0,8941;0,910
0,836816;-0,0600;0,1580;0,8981;0,914
0,839641;-0,0610;0,1580;0,9044;0,920
0,843126;-0,0593;0,1584;0,9070;0,923
0,844789;-0,0612;0,1559;0,9161;0,931
0,847214;-0,0605;0,1555;0,9222;0,937
0,849431;-0,0617;0,1557;0,9286;0,944
0,854855;-0,0637;0,1550;0,9333;0,948
0,855703;-0,0595;0,1526;0,9403;0,954
0,856898;-0,0634;0,1562;0,9428;0,958
0,859917;-0,0644;0,1571;0,9508;0,966
0,861997;-0,0663;0,1584;0,9626;0,978
0,866621;-0,0693;0,1538;0,9667;0,981
0,867824;-0,0722;0,1469;0,9675;0,981
0,870575;-0,0686;0,1438;0,9762;0,989
0,872436;-0,0673;0,1452;0,9787;0,992
0,874769;-0,0695;0,1384;0,9748;0,987
0,879324;-0,0719;0,1373;0,9794;0,992
0,880205;-0,0756;0,1393;0,9804;0,993
0,882985;-0,0761;0,1401;0,9811;0,994
0,884792;-0,0812;0,1454;0,9862;1,000
0,892944;-0,0847;0,1435;0,9916;1,006
0,893528;-0,0884;0,1486;1,0016;1,016
0,893667;-0,0812;0,1506;1,0078;1,022
0,894889;-0,0803;0,1506;1,0127;1,027
0,897485;-0,0810;0,1552;1,0129;1,028
0,900517;-0,0808;0,1540;1,0205;1,035
0,902585;-0,0744;0,1540;1,0234;1,038
0,905073;-0,0705;0,1567;1,0234;1,038
0,907525;-0,0703;0,1562;1,0324;1,047
0,910792;-0,0673;0,1545;1,0344;1,048
0,912681;-0,0626;0,1608;1,0363;1,051
0,915442;-0,0593;0,1606;1,0381;1,052
0,917692;-0,0598;0,1596;1,0324;1,046
0,920406;-0,0578;0,1628;1,0335;1,048
0,922631;-0,0553;0,1624;1,0324;1,047
0,925046;-0,0605;0,1643;1,0307;1,045
0,927697;-0,0570;0,1606;1,0263;1,040
0,930250;-0,0583;0,1611;1,0217;1,036
0,933675;-0,0624;0,1606;1,0137;1,028
0,935058;-0,0651;0,1606;1,0116;1,026
0,937743;-0,0705;0,1601;1,0053;1,020
0,940443;-0,0756;0,1620;0,9997;1,016
0,942626;-0,0776;0,1638;0,9946;1,011
0,945718;-0,0842;0,1626;0,9914;1,008
0,947602;-0,0832;0,1650;0,9809;0,998
0,950667;-0,0852;0,1657;0,9809;0,998
0,952375;-0,0901;0,1699;0,9767;0,995
0,955770;-0,0908;0,1704;0,9726;0,992
0,957684;-0,0908;0,1682;0,9733;0,992
0,960152;-0,0877;0,1684;0,9741;0,992
0,962591;-0,0847;0,1684;0,9687;0,987
0,965264;-0,0788;0,1645;0,9677;0,985
0,968732;-0,0793;0,1608;0,9684;0,985
0,971606;-0,0768;0,1596;0,9692;0,985
0,973016;-0,0739;0,1562;0,9689;0,984
0,975681;-0,0686;0,1552;0,9657;0,981
0,986998;-0,0700;0,1557;0,9677;0,983
0,988064;-0,0737;0,1538;0,9760;0,991
0,988591;-0,0700;0,1489;0,9782;0,992
0,989094;-0,0717;0,1477;0,9813;0,995
0,989501;-0,0751;0,1484;0,9848;0,999
0,996015;-0,0751;0,1474;0,9872;1,001
0,996973;-0,0773;0,1454;0,9943;1,008
0,997784;-0,0812;0,1403;0,9970;1,010
0,998314;-0,0825;0,1366;1,0009;1,014
1,000762;-0,0830;0,1347;1,0097;1,022
1,003622;-0,0856;0,1347;1,0181;1,030
1,005809;-0,0933;0,1312;1,0181;1,031
1,008098;-0,0949;0,1293;1,0230;1,035
1,011547;-0,0957;0,1298;1,0312;1,044
1,013185;-0,0969;0,1247;1,0400;1,052
1,016186;-0,0996;0,1249;1,0412;1,053
1,018489;-0,1045;0,1224;1,0456;1,058
1,022917;-0,1047;0,1205;1,0556;1,068
1,023620;-0,1059;0,1203;1,0568;1,069
1,025903;-0,1076;0,1203;1,0596;1,072
1,028697;-0,1038;0,1179;1,0627;1,074
1,035380;-0,1101;0,1168;1,0615;1,074
1,036105;-0,1110;0,1191;1,0652;1,078
1,036388;-0,1101;0,1198;1,0679;1,080
1,038259;-0,1128;0,1188;1,0759;1,088
1,041098;-0,1087;0,1210;1,0750;1,087
1,043440;-0,1062;0,1176;1,0742;1,086
1,046118;-0,1062;0,1186;1,0728;1,085
1,048881;-0,1022;0,1203;1,0710;1,083
1,051524;-0,1022;0,1215;1,0715;1,083
1,053690;-0,1030;0,1240;1,0684;1,080
1,057603;-0,0977;0,1235;1,0684;1,080
1,058495;-0,0923;0,1286;1,0652;1,077
1,061281;-0,0920;0,1312;1,0601;1,072
1,064081;-0,0917;0,1317;1,0510;1,063
1,068034;-0,0866;0,1369;1,0498;1,062
1,069338;-0,0837;0,1405;1,0412;1,054
1,071274;-0,0842;0,1430;1,0300;1,043
1,073669;-0,0815;0,1482;1,0221;1,036
1,076186;-0,0761;0,1491;1,0141;1,028
1,085007;-0,0749;0,1503;1,0067;1,021
1,086115;-0,0773;0,1510;0,9987;1,013
1,086491;-0,0742;0,1528;0,9885;1,003
1,086886;-0,0730;0,1508;0,9829;0,997
1,098097;-0,0698;0,1503;0,9733;0,987
1,099585;-0,0691;0,1545;0,9643;0,979
1,100220;-0,0670;0,1555;0,9606;0,975
1,100733;-0,0705;0,1526;0,9543;0,969
1,101249;-0,0715;0,1523;0,9445;0,959
1,101662;-0,0735;0,1559;0,9457;0,961
1,104264;-0,0735;0,1552;0,9430;0,958
1,106789;-0,0776;0,1580;0,9373;0,954
1,109186;-0,0779;0,1569;0,9359;0,952
1,112378;-0,0798;0,1571;0,9401;0,956
1,114064;-0,0837;0,1564;0,9393;0,956
1,116936;-0,0844;0,1594;0,9410;0,958
1,119402;-0,0800;0,1580;0,9435;0,960
1,121614;-0,0819;0,1564;0,9442;0,961
1,124620;-0,0842;0,1533;0,9484;0,964
1,126902;-0,0840;0,1508;0,9482;0,964
1,129353;-0,0810;0,1515;0,9479;0,963
1,131778;-0,0810;0,1540;0,9494;0,965
1,134961;-0,0842;0,1528;0,9559;0,972
1,136816;-0,0852;0,1508;0,9566;0,972
1,139853;-0,0856;0,1508;0,9601;0,976
1,141630;-0,0844;0,1494;0,9626;0,978
1,144870;-0,0859;0,1457;0,9655;0,980
1,147388;-0,0837;0,1462;0,9671;0,982
1,150151;-0,0877;0,1501;0,9652;0,981
1,151818;-0,0877;0,1482;0,9682;0,983
1,154308;-0,0896;0,1445;0,9684;0,983
1,158441;-0,0928;0,1452;0,9684;0,984
1,160211;-0,0915;0,1479;0,9623;0,978
1,162073;-0,0930;0,1471;0,9562;0,972
1,164824;-0,0933;0,1452;0,9582;0,974
1,169332;-0,0910;0,1457;0,9547;0,970
1,170335;-0,0973;0,1482;0,9503;0,967
1,172498;-0,0935;0,1486;0,9484;0,964
1,174825;-0,0924;0,1540;0,9422;0,959
1,177618;-0,0901;0,1552;0,9352;0,952
1,183320;-0,0889;0,1540;0,9284;0,945
1,184774;-0,0864;0,1571;0,9225;0,940
1,185291;-0,0825;0,1594;0,9200;0,937
1,187820;-0,0810;0,1626;0,9132;0,931
1,198986;-0,0812;0,1640;0,9100;0,928
1,199826;-0,0773;0,1687;0,9034;0,922
1,200180;-0,0730;0,1711;0,8972;0,916
1,200474;-0,0712;0,1716;0,8934;0,912
1,200713;-0,0673;0,1767;0,8909;0,911
1,205358;-0,0642;0,1750;0,8892;0,909
1,206084;-0,0612;0,1774;0,8811;0,901
1,207654;-0,0590;0,1748;0,8783;0,897
1,210144;-0,0578;0,1774;0,8699;0,890
1,213019;-0,0602;0,1794;0,8662;0,887
1,215673;-0,0574;0,1804;0,8643;0,885
1,217964;-0,0607;0,1813;0,8611;0,882
1,221135;-0,0610;0,1831;0,8553;0,877
1,222906;-0,0607;0,1836;0,8616;0,883
1,225496;-0,0642;0,1841;0,8641;0,886
1,228282;-0,0617;0,1872;0,8597;0,882
1,230201;-0,0632;0,1870;0,8587;0,881
1,233192;-0,0642;0,1855;0,8597;0,882
1,235962;-0,0649;0,1846;0,8638;0,886
1,237753;-0,0617;0,1867;0,8604;0,883
1,240220;-0,0634;0,1872;0,8606;0,883
1,243050;-0,0666;0,1843;0,8623;0,884
1,245421;-0,0654;0,1829;0,8660;0,888
1,248199;-0,0710;0,1816;0,8643;0,886
1,251565;-0,0712;0,1809;0,8709;0,892
1,252984;-0,0722;0,1836;0,8760;0,898
1,255336;-0,0705;0,1823;0,8787;0,900
1,257964;-0,0730;0,1811;0,8795;0,901
1,260397;-0,0730;0,1789;0,8814;0,902
