dateTime,X,Y,Z
2023-02-07 15:44:41.424695,-0.11,0.25,-6.93
2023-02-07 15:44:41.435400,-0.21,0.23,-6.96
2023-02-07 15:44:41.444405,-0.31,0.26,-6.82
2023-02-07 15:44:41.454889,-0.28,0.17,-6.78
2023-02-07 15:44:41.465425,-0.21,0.08,-6.99
2023-02-07 15:44:41.474708,-0.12,0.02,-7.22
2023-02-07 15:44:41.484318,-0.17,-0.07,-7.33
2023-02-07 15:44:41.495527,-0.27,-0.09,-7.37
2023-02-07 15:44:41.503519,-0.43,-0.11,-7.48
2023-02-07 15:44:41.514189,-0.58,-0.08,-7.72
2023-02-07 15:44:41.525496,-0.77,0.10,-7.91
2023-02-07 15:44:41.533342,-0.90,0.22,-8.00
2023-02-07 15:44:41.544163,-0.99,0.34,-7.97
2023-02-07 15:44:41.554946,-1.13,0.42,-7.82
2023-02-07 15:44:41.563249,-1.15,0.45,-7.69
2023-02-07 15:44:41.574128,-1.09,0.42,-7.56
2023-02-07 15:44:41.582953,-0.97,0.40,-7.29
2023-02-07 15:44:41.593356,-0.84,0.29,-6.85
2023-02-07 15:44:41.604206,-0.65,0.19,-6.35
2023-02-07 15:44:41.612358,-0.44,0.03,-6.11
2023-02-07 15:44:41.623571,-0.26,-0.18,-6.15
2023-02-07 15:44:41.634015,-0.24,-0.34,-6.16
2023-02-07 15:44:41.642658,-0.35,-0.23,-5.98
2023-02-07 15:44:41.653000,-0.44,-0.00,-5.77
2023-02-07 15:44:41.664041,-0.42,0.15,-5.73
2023-02-07 15:44:41.672250,-0.36,0.26,-5.63
2023-02-07 15:44:41.683018,-0.39,0.39,-5.56
2023-02-07 15:44:41.693914,-0.38,0.43,-5.52
2023-02-07 15:44:41.702039,-0.26,0.47,-5.53
2023-02-07 15:44:41.712901,-0.21,0.39,-5.50
2023-02-07 15:44:41.723622,-0.08,0.30,-5.34
2023-02-07 15:44:41.731930,0.06,0.12,-5.18
2023-02-07 15:44:41.743006,0.15,-0.11,-5.09
2023-02-07 15:44:41.751009,0.17,-0.28,-5.09
2023-02-07 15:44:41.762046,0.15,-0.29,-5.16
2023-02-07 15:44:41.775658,0.21,-0.15,-5.24
2023-02-07 15:44:41.781241,0.33,0.06,-5.28
2023-02-07 15:44:41.792496,0.44,0.28,-5.22
2023-02-07 15:44:41.802895,0.43,0.40,-5.29
2023-02-07 15:44:41.811653,0.42,0.52,-5.33
2023-02-07 15:44:41.821615,0.42,0.63,-5.36
2023-02-07 15:44:41.832602,0.30,0.67,-5.46
2023-02-07 15:44:41.841002,0.20,0.80,-5.69
2023-02-07 15:44:41.851557,0.06,0.96,-5.93
2023-02-07 15:44:41.862609,-0.10,1.20,-6.11
2023-02-07 15:44:41.870670,-0.22,1.46,-6.32
2023-02-07 15:44:41.881556,-0.23,1.63,-6.52
2023-02-07 15:44:41.893859,-0.10,1.65,-6.73
2023-02-07 15:44:41.901747,0.16,1.40,-6.79
2023-02-07 15:44:41.912418,0.40,1.06,-6.76
2023-02-07 15:44:41.922362,0.54,0.78,-6.73
2023-02-07 15:44:41.930529,0.56,0.58,-6.70
2023-02-07 15:44:41.941463,0.50,0.51,-6.72
2023-02-07 15:44:41.964180,0.36,0.54,-6.85
2023-02-07 15:44:41.964854,0.27,0.57,-6.92
2023-02-07 15:44:41.978500,0.09,0.65,-6.98
2023-02-07 15:44:41.979586,-0.11,0.80,-7.05
2023-02-07 15:44:41.990340,-0.23,0.95,-7.29
2023-02-07 15:44:42.001082,-0.33,1.06,-7.47
2023-02-07 15:44:42.009409,-0.36,1.20,-7.38
2023-02-07 15:44:42.020194,-0.31,1.23,-7.02
2023-02-07 15:44:42.031009,-0.11,0.97,-6.56
2023-02-07 15:44:42.039297,0.13,0.52,-6.18
2023-02-07 15:44:42.050105,0.41,0.04,-6.03
2023-02-07 15:44:42.060928,0.56,-0.29,-5.97
2023-02-07 15:44:42.069238,0.37,-0.37,-5.89
2023-02-07 15:44:42.080035,0.13,0.01,-5.81
2023-02-07 15:44:42.088403,-0.07,0.47,-5.78
2023-02-07 15:44:42.099195,-0.11,0.83,-5.83
2023-02-07 15:44:42.110195,0.01,0.93,-5.83
2023-02-07 15:44:42.118274,0.05,0.75,-5.76
2023-02-07 15:44:42.129201,0.16,0.46,-5.70
2023-02-07 15:44:42.139864,0.24,0.17,-5.89
2023-02-07 15:44:42.148105,0.36,0.00,-6.21
2023-02-07 15:44:42.159537,0.40,-0.11,-6.52
2023-02-07 15:44:42.169755,0.39,0.00,-6.70
2023-02-07 15:44:42.178189,0.27,0.14,-6.78
2023-02-07 15:44:42.189084,0.12,0.33,-6.96
2023-02-07 15:44:42.197493,0.06,0.53,-7.29
2023-02-07 15:44:42.207942,0.00,0.77,-7.49
2023-02-07 15:44:42.219116,-0.09,1.01,-7.46
2023-02-07 15:44:42.227228,-0.20,1.20,-7.33
2023-02-07 15:44:42.238057,-0.33,1.24,-7.23
2023-02-07 15:44:42.249169,-0.23,0.98,-7.21
2023-02-07 15:44:42.257010,-0.03,0.63,-7.14
2023-02-07 15:44:42.267912,0.25,0.45,-6.79
2023-02-07 15:44:42.276587,0.45,0.27,-6.41
2023-02-07 15:44:42.287590,0.49,0.25,-6.23
2023-02-07 15:44:42.297859,0.35,0.35,-6.20
2023-02-07 15:44:42.305997,0.20,0.37,-6.37
2023-02-07 15:44:42.316801,0.15,0.32,-6.40
2023-02-07 15:44:42.326216,0.25,0.17,-6.42
2023-02-07 15:44:42.335842,0.48,-0.18,-6.54
2023-02-07 15:44:42.346615,0.65,-0.64,-6.64
2023-02-07 15:44:42.355091,0.58,-0.95,-6.70
2023-02-07 15:44:42.366467,0.37,-0.98,-6.66
2023-02-07 15:44:42.374442,0.19,-0.83,-6.64
2023-02-07 15:44:42.384778,0.04,-0.68,-6.64
2023-02-07 15:44:42.395778,-0.17,-0.48,-6.48
2023-02-07 15:44:42.404047,-0.41,-0.35,-6.33
2023-02-07 15:44:42.414698,-0.66,-0.12,-6.30
2023-02-07 15:44:42.425915,-0.78,0.05,-6.39
2023-02-07 15:44:42.433867,-0.90,0.27,-6.53
2023-02-07 15:44:42.444816,-0.96,0.53,-6.53
2023-02-07 15:44:42.455559,-1.02,0.75,-6.43
2023-02-07 15:44:42.463719,-1.04,0.74,-6.21
2023-02-07 15:44:42.474553,-0.97,0.66,-6.15
2023-02-07 15:44:42.485388,-0.80,0.46,-6.13
2023-02-07 15:44:42.494675,-0.69,0.23,-6.00
2023-02-07 15:44:42.504734,-0.64,0.11,-5.73
2023-02-07 15:44:42.513894,-0.63,0.01,-5.61
2023-02-07 15:44:42.524272,-0.60,-0.11,-5.52
2023-02-07 15:44:42.534780,-0.55,-0.15,-5.53
2023-02-07 15:44:42.543406,-0.55,-0.06,-5.57
2023-02-07 15:44:42.553614,-0.62,0.02,-5.64
2023-02-07 15:44:42.564653,-0.64,0.02,-5.91
2023-02-07 15:44:42.575660,-0.67,0.03,-6.31
2023-02-07 15:44:42.583378,-0.68,0.16,-6.54
2023-02-07 15:44:42.594272,-0.73,0.26,-6.53
2023-02-07 15:44:42.605090,-0.67,0.31,-6.41
2023-02-07 15:44:42.613818,-0.50,0.32,-6.34
2023-02-07 15:44:42.624366,-0.33,0.27,-6.27
2023-02-07 15:44:42.634994,-0.23,0.22,-6.22
2023-02-07 15:44:42.643548,-0.20,0.15,-6.28
2023-02-07 15:44:42.654071,-0.26,0.10,-6.55
2023-02-07 15:44:42.664959,-0.31,0.11,-6.85
2023-02-07 15:44:42.674303,-0.39,0.30,-7.11
2023-02-07 15:44:42.684257,-0.53,0.54,-7.23
2023-02-07 15:44:42.694923,-0.69,0.72,-7.31
2023-02-07 15:44:42.704341,-0.69,0.78,-7.43
2023-02-07 15:44:42.714889,-0.56,0.65,-7.40
2023-02-07 15:44:42.724768,-0.20,0.44,-7.27
2023-02-07 15:44:42.733422,0.11,0.20,-6.87
2023-02-07 15:44:42.744723,0.41,0.06,-6.44
2023-02-07 15:44:42.752094,0.63,-0.02,-6.22
2023-02-07 15:44:42.762871,0.68,-0.01,-6.13
2023-02-07 15:44:42.798674,0.59,0.11,-6.18
2023-02-07 15:44:42.799930,0.47,0.27,-6.35
2023-02-07 15:44:42.800625,0.45,0.48,-6.53
2023-02-07 15:44:42.803929,0.46,0.60,-6.58
2023-02-07 15:44:42.815608,0.43,0.61,-6.65
2023-02-07 15:44:42.822704,0.38,0.47,-6.83
